    KEYS    |   VALUES   
     17     |     -1     
     26     |     -1     
     -2     |     0      
     5      |     -1     
     -1     |     1      
     22     |     -1     
     -2     |     0      
     6      |     -1     
     -1     |     2      
     22     |     -1     
     -2     |     0      
     0      |     -1     
     0      |     -1     
     17     |     -1     
     21     |     -1     
     -2     |     0      
     4      |     -1     
     -1     |     3      
     5      |     -1     
     5      |     -1     
     -1     |     4      
     21     |     -1     
     21     |     -1     
     -2     |     0      
     4      |     -1     
     -1     |     5      
     5      |     -1     
     5      |     -1     
     -1     |     4      
     21     |     -1     
     28     |     -1     
     15     |     -1     
     -1     |     6      
     16     |     -1     
     24     |     -1     
     28     |     -1     
     15     |     -1     
     -1     |     7      
     16     |     -1     
     25     |     -1     
     21     |     -1     
     -2     |     0      
     4      |     -1     
     -1     |     5      
     5      |     -1     
     5      |     -1     
     -1     |     4      
     23     |     -1     
     28     |     -1     
     15     |     -1     
     -1     |     8      
     16     |     -1     
     25     |     -1     
     18     |     -1     
